date,weekday,weekday_int,d,event
2011-01-29,Saturday,1,d_1,
2011-01-30,Sunday,2,d_2,
2011-01-31,Monday,3,d_3,
2011-02-01,Tuesday,4,d_4,
2011-02-02,Wednesday,5,d_5,
2011-02-03,Thursday,6,d_6,
2011-02-04,Friday,7,d_7,
2011-02-05,Saturday,1,d_8,
2011-02-06,Sunday,2,d_9,SuperBowl
2011-02-07,Monday,3,d_10,
2011-02-08,Tuesday,4,d_11,
2011-02-09,Wednesday,5,d_12,
2011-02-10,Thursday,6,d_13,
2011-02-11,Friday,7,d_14,
2011-02-12,Saturday,1,d_15,
2011-02-13,Sunday,2,d_16,
2011-02-14,Monday,3,d_17,
2011-02-15,Tuesday,4,d_18,
2011-02-16,Wednesday,5,d_19,
2011-02-17,Thursday,6,d_20,
2011-02-18,Friday,7,d_21,
2011-02-19,Saturday,1,d_22,
2011-02-20,Sunday,2,d_23,
2011-02-21,Monday,3,d_24,
2011-02-22,Tuesday,4,d_25,
2011-02-23,Wednesday,5,d_26,
2011-02-24,Thursday,6,d_27,
2011-02-25,Friday,7,d_28,
2011-02-26,Saturday,1,d_29,
2011-02-27,Sunday,2,d_30,
2011-02-28,Monday,3,d_31,
2011-03-01,Tuesday,4,d_32,
2011-03-02,Wednesday,5,d_33,
2011-03-03,Thursday,6,d_34,
2011-03-04,Friday,7,d_35,
2011-03-05,Saturday,1,d_36,
2011-03-06,Sunday,2,d_37,
2011-03-07,Monday,3,d_38,
2011-03-08,Tuesday,4,d_39,
2011-03-09,Wednesday,5,d_40,
2011-03-10,Thursday,6,d_41,
2011-03-11,Friday,7,d_42,
2011-03-12,Saturday,1,d_43,
2011-03-13,Sunday,2,d_44,
2011-03-14,Monday,3,d_45,
2011-03-15,Tuesday,4,d_46,
2011-03-16,Wednesday,5,d_47,
2011-03-17,Thursday,6,d_48,
2011-03-18,Friday,7,d_49,
2011-03-19,Saturday,1,d_50,
2011-03-20,Sunday,2,d_51,
2011-03-21,Monday,3,d_52,
2011-03-22,Tuesday,4,d_53,
2011-03-23,Wednesday,5,d_54,
2011-03-24,Thursday,6,d_55,
2011-03-25,Friday,7,d_56,
2011-03-26,Saturday,1,d_57,
2011-03-27,Sunday,2,d_58,
2011-03-28,Monday,3,d_59,
2011-03-29,Tuesday,4,d_60,
2011-03-30,Wednesday,5,d_61,
2011-03-31,Thursday,6,d_62,
2011-04-01,Friday,7,d_63,
2011-04-02,Saturday,1,d_64,
2011-04-03,Sunday,2,d_65,
2011-04-04,Monday,3,d_66,
2011-04-05,Tuesday,4,d_67,
2011-04-06,Wednesday,5,d_68,
2011-04-07,Thursday,6,d_69,
2011-04-08,Friday,7,d_70,
2011-04-09,Saturday,1,d_71,
2011-04-10,Sunday,2,d_72,
2011-04-11,Monday,3,d_73,
2011-04-12,Tuesday,4,d_74,
2011-04-13,Wednesday,5,d_75,
2011-04-14,Thursday,6,d_76,
2011-04-15,Friday,7,d_77,
2011-04-16,Saturday,1,d_78,
2011-04-17,Sunday,2,d_79,
2011-04-18,Monday,3,d_80,
2011-04-19,Tuesday,4,d_81,
2011-04-20,Wednesday,5,d_82,
2011-04-21,Thursday,6,d_83,
2011-04-22,Friday,7,d_84,
2011-04-23,Saturday,1,d_85,
2011-04-24,Sunday,2,d_86,
2011-04-25,Monday,3,d_87,
2011-04-26,Tuesday,4,d_88,
2011-04-27,Wednesday,5,d_89,
2011-04-28,Thursday,6,d_90,
2011-04-29,Friday,7,d_91,
2011-04-30,Saturday,1,d_92,
2011-05-01,Sunday,2,d_93,
2011-05-02,Monday,3,d_94,
2011-05-03,Tuesday,4,d_95,
2011-05-04,Wednesday,5,d_96,
2011-05-05,Thursday,6,d_97,
2011-05-06,Friday,7,d_98,
2011-05-07,Saturday,1,d_99,
2011-05-08,Sunday,2,d_100,
2011-05-09,Monday,3,d_101,
2011-05-10,Tuesday,4,d_102,
2011-05-11,Wednesday,5,d_103,
2011-05-12,Thursday,6,d_104,
2011-05-13,Friday,7,d_105,
2011-05-14,Saturday,1,d_106,
2011-05-15,Sunday,2,d_107,
2011-05-16,Monday,3,d_108,
2011-05-17,Tuesday,4,d_109,
2011-05-18,Wednesday,5,d_110,
2011-05-19,Thursday,6,d_111,
2011-05-20,Friday,7,d_112,
2011-05-21,Saturday,1,d_113,
2011-05-22,Sunday,2,d_114,
2011-05-23,Monday,3,d_115,
2011-05-24,Tuesday,4,d_116,
2011-05-25,Wednesday,5,d_117,
2011-05-26,Thursday,6,d_118,
2011-05-27,Friday,7,d_119,
2011-05-28,Saturday,1,d_120,
2011-05-29,Sunday,2,d_121,
2011-05-30,Monday,3,d_122,
2011-05-31,Tuesday,4,d_123,
2011-06-01,Wednesday,5,d_124,
2011-06-02,Thursday,6,d_125,
2011-06-03,Friday,7,d_126,
2011-06-04,Saturday,1,d_127,
2011-06-05,Sunday,2,d_128,
2011-06-06,Monday,3,d_129,
2011-06-07,Tuesday,4,d_130,
2011-06-08,Wednesday,5,d_131,
2011-06-09,Thursday,6,d_132,
2011-06-10,Friday,7,d_133,
2011-06-11,Saturday,1,d_134,
2011-06-12,Sunday,2,d_135,
2011-06-13,Monday,3,d_136,
2011-06-14,Tuesday,4,d_137,
2011-06-15,Wednesday,5,d_138,
2011-06-16,Thursday,6,d_139,
2011-06-17,Friday,7,d_140,
2011-06-18,Saturday,1,d_141,
2011-06-19,Sunday,2,d_142,
2011-06-20,Monday,3,d_143,
2011-06-21,Tuesday,4,d_144,
2011-06-22,Wednesday,5,d_145,
2011-06-23,Thursday,6,d_146,
2011-06-24,Friday,7,d_147,
2011-06-25,Saturday,1,d_148,
2011-06-26,Sunday,2,d_149,
2011-06-27,Monday,3,d_150,
2011-06-28,Tuesday,4,d_151,
2011-06-29,Wednesday,5,d_152,
2011-06-30,Thursday,6,d_153,
2011-07-01,Friday,7,d_154,
2011-07-02,Saturday,1,d_155,
2011-07-03,Sunday,2,d_156,
2011-07-04,Monday,3,d_157,
2011-07-05,Tuesday,4,d_158,
2011-07-06,Wednesday,5,d_159,
2011-07-07,Thursday,6,d_160,
2011-07-08,Friday,7,d_161,
2011-07-09,Saturday,1,d_162,
2011-07-10,Sunday,2,d_163,
2011-07-11,Monday,3,d_164,
2011-07-12,Tuesday,4,d_165,
2011-07-13,Wednesday,5,d_166,
2011-07-14,Thursday,6,d_167,
2011-07-15,Friday,7,d_168,
2011-07-16,Saturday,1,d_169,
2011-07-17,Sunday,2,d_170,
2011-07-18,Monday,3,d_171,
2011-07-19,Tuesday,4,d_172,
2011-07-20,Wednesday,5,d_173,
2011-07-21,Thursday,6,d_174,
2011-07-22,Friday,7,d_175,
2011-07-23,Saturday,1,d_176,
2011-07-24,Sunday,2,d_177,
2011-07-25,Monday,3,d_178,
2011-07-26,Tuesday,4,d_179,
2011-07-27,Wednesday,5,d_180,
2011-07-28,Thursday,6,d_181,
2011-07-29,Friday,7,d_182,
2011-07-30,Saturday,1,d_183,
2011-07-31,Sunday,2,d_184,
2011-08-01,Monday,3,d_185,Ramadan starts
2011-08-02,Tuesday,4,d_186,
2011-08-03,Wednesday,5,d_187,
2011-08-04,Thursday,6,d_188,
2011-08-05,Friday,7,d_189,
2011-08-06,Saturday,1,d_190,
2011-08-07,Sunday,2,d_191,
2011-08-08,Monday,3,d_192,
2011-08-09,Tuesday,4,d_193,
2011-08-10,Wednesday,5,d_194,
2011-08-11,Thursday,6,d_195,
2011-08-12,Friday,7,d_196,
2011-08-13,Saturday,1,d_197,
2011-08-14,Sunday,2,d_198,
2011-08-15,Monday,3,d_199,
2011-08-16,Tuesday,4,d_200,
2011-08-17,Wednesday,5,d_201,
2011-08-18,Thursday,6,d_202,
2011-08-19,Friday,7,d_203,
2011-08-20,Saturday,1,d_204,
2011-08-21,Sunday,2,d_205,
2011-08-22,Monday,3,d_206,
2011-08-23,Tuesday,4,d_207,
2011-08-24,Wednesday,5,d_208,
2011-08-25,Thursday,6,d_209,
2011-08-26,Friday,7,d_210,
2011-08-27,Saturday,1,d_211,
2011-08-28,Sunday,2,d_212,
2011-08-29,Monday,3,d_213,
2011-08-30,Tuesday,4,d_214,
2011-08-31,Wednesday,5,d_215,
2011-09-01,Thursday,6,d_216,
2011-09-02,Friday,7,d_217,
2011-09-03,Saturday,1,d_218,
2011-09-04,Sunday,2,d_219,
2011-09-05,Monday,3,d_220,
2011-09-06,Tuesday,4,d_221,
2011-09-07,Wednesday,5,d_222,
2011-09-08,Thursday,6,d_223,
2011-09-09,Friday,7,d_224,
2011-09-10,Saturday,1,d_225,
2011-09-11,Sunday,2,d_226,
2011-09-12,Monday,3,d_227,
2011-09-13,Tuesday,4,d_228,
2011-09-14,Wednesday,5,d_229,
2011-09-15,Thursday,6,d_230,
2011-09-16,Friday,7,d_231,
2011-09-17,Saturday,1,d_232,
2011-09-18,Sunday,2,d_233,
2011-09-19,Monday,3,d_234,
2011-09-20,Tuesday,4,d_235,
2011-09-21,Wednesday,5,d_236,
2011-09-22,Thursday,6,d_237,
2011-09-23,Friday,7,d_238,
2011-09-24,Saturday,1,d_239,
2011-09-25,Sunday,2,d_240,
2011-09-26,Monday,3,d_241,
2011-09-27,Tuesday,4,d_242,
2011-09-28,Wednesday,5,d_243,
2011-09-29,Thursday,6,d_244,
2011-09-30,Friday,7,d_245,
2011-10-01,Saturday,1,d_246,
2011-10-02,Sunday,2,d_247,
2011-10-03,Monday,3,d_248,
2011-10-04,Tuesday,4,d_249,
2011-10-05,Wednesday,5,d_250,
2011-10-06,Thursday,6,d_251,
2011-10-07,Friday,7,d_252,
2011-10-08,Saturday,1,d_253,
2011-10-09,Sunday,2,d_254,
2011-10-10,Monday,3,d_255,
2011-10-11,Tuesday,4,d_256,
2011-10-12,Wednesday,5,d_257,
2011-10-13,Thursday,6,d_258,
2011-10-14,Friday,7,d_259,
2011-10-15,Saturday,1,d_260,
2011-10-16,Sunday,2,d_261,
2011-10-17,Monday,3,d_262,
2011-10-18,Tuesday,4,d_263,
2011-10-19,Wednesday,5,d_264,
2011-10-20,Thursday,6,d_265,
2011-10-21,Friday,7,d_266,
2011-10-22,Saturday,1,d_267,
2011-10-23,Sunday,2,d_268,
2011-10-24,Monday,3,d_269,
2011-10-25,Tuesday,4,d_270,
2011-10-26,Wednesday,5,d_271,
2011-10-27,Thursday,6,d_272,
2011-10-28,Friday,7,d_273,
2011-10-29,Saturday,1,d_274,
2011-10-30,Sunday,2,d_275,
2011-10-31,Monday,3,d_276,
2011-11-01,Tuesday,4,d_277,
2011-11-02,Wednesday,5,d_278,
2011-11-03,Thursday,6,d_279,
2011-11-04,Friday,7,d_280,
2011-11-05,Saturday,1,d_281,
2011-11-06,Sunday,2,d_282,
2011-11-07,Monday,3,d_283,
2011-11-08,Tuesday,4,d_284,
2011-11-09,Wednesday,5,d_285,
2011-11-10,Thursday,6,d_286,
2011-11-11,Friday,7,d_287,
2011-11-12,Saturday,1,d_288,
2011-11-13,Sunday,2,d_289,
2011-11-14,Monday,3,d_290,
2011-11-15,Tuesday,4,d_291,
2011-11-16,Wednesday,5,d_292,
2011-11-17,Thursday,6,d_293,
2011-11-18,Friday,7,d_294,
2011-11-19,Saturday,1,d_295,
2011-11-20,Sunday,2,d_296,
2011-11-21,Monday,3,d_297,
2011-11-22,Tuesday,4,d_298,
2011-11-23,Wednesday,5,d_299,
2011-11-24,Thursday,6,d_300,Thanksgiving
2011-11-25,Friday,7,d_301,
2011-11-26,Saturday,1,d_302,
2011-11-27,Sunday,2,d_303,
2011-11-28,Monday,3,d_304,
2011-11-29,Tuesday,4,d_305,
2011-11-30,Wednesday,5,d_306,
2011-12-01,Thursday,6,d_307,
2011-12-02,Friday,7,d_308,
2011-12-03,Saturday,1,d_309,
2011-12-04,Sunday,2,d_310,
2011-12-05,Monday,3,d_311,
2011-12-06,Tuesday,4,d_312,
2011-12-07,Wednesday,5,d_313,
2011-12-08,Thursday,6,d_314,
2011-12-09,Friday,7,d_315,
2011-12-10,Saturday,1,d_316,
2011-12-11,Sunday,2,d_317,
2011-12-12,Monday,3,d_318,
2011-12-13,Tuesday,4,d_319,
2011-12-14,Wednesday,5,d_320,
2011-12-15,Thursday,6,d_321,
2011-12-16,Friday,7,d_322,
2011-12-17,Saturday,1,d_323,
2011-12-18,Sunday,2,d_324,
2011-12-19,Monday,3,d_325,
2011-12-20,Tuesday,4,d_326,
2011-12-21,Wednesday,5,d_327,
2011-12-22,Thursday,6,d_328,
2011-12-23,Friday,7,d_329,
2011-12-24,Saturday,1,d_330,
2011-12-25,Sunday,2,d_331,
2011-12-26,Monday,3,d_332,
2011-12-27,Tuesday,4,d_333,
2011-12-28,Wednesday,5,d_334,
2011-12-29,Thursday,6,d_335,
2011-12-30,Friday,7,d_336,
2011-12-31,Saturday,1,d_337,
2012-01-01,Sunday,2,d_338,NewYear
2012-01-02,Monday,3,d_339,
2012-01-03,Tuesday,4,d_340,
2012-01-04,Wednesday,5,d_341,
2012-01-05,Thursday,6,d_342,
2012-01-06,Friday,7,d_343,
2012-01-07,Saturday,1,d_344,
2012-01-08,Sunday,2,d_345,
2012-01-09,Monday,3,d_346,
2012-01-10,Tuesday,4,d_347,
2012-01-11,Wednesday,5,d_348,
2012-01-12,Thursday,6,d_349,
2012-01-13,Friday,7,d_350,
2012-01-14,Saturday,1,d_351,
2012-01-15,Sunday,2,d_352,
2012-01-16,Monday,3,d_353,
2012-01-17,Tuesday,4,d_354,
2012-01-18,Wednesday,5,d_355,
2012-01-19,Thursday,6,d_356,
2012-01-20,Friday,7,d_357,
2012-01-21,Saturday,1,d_358,
2012-01-22,Sunday,2,d_359,
2012-01-23,Monday,3,d_360,
2012-01-24,Tuesday,4,d_361,
2012-01-25,Wednesday,5,d_362,
2012-01-26,Thursday,6,d_363,
2012-01-27,Friday,7,d_364,
2012-01-28,Saturday,1,d_365,
2012-01-29,Sunday,2,d_366,
2012-01-30,Monday,3,d_367,
2012-01-31,Tuesday,4,d_368,
2012-02-01,Wednesday,5,d_369,
2012-02-02,Thursday,6,d_370,
2012-02-03,Friday,7,d_371,
2012-02-04,Saturday,1,d_372,
2012-02-05,Sunday,2,d_373,SuperBowl
2012-02-06,Monday,3,d_374,
2012-02-07,Tuesday,4,d_375,
2012-02-08,Wednesday,5,d_376,
2012-02-09,Thursday,6,d_377,
2012-02-10,Friday,7,d_378,
2012-02-11,Saturday,1,d_379,
2012-02-12,Sunday,2,d_380,
2012-02-13,Monday,3,d_381,
2012-02-14,Tuesday,4,d_382,
2012-02-15,Wednesday,5,d_383,
2012-02-16,Thursday,6,d_384,
2012-02-17,Friday,7,d_385,
2012-02-18,Saturday,1,d_386,
2012-02-19,Sunday,2,d_387,
2012-02-20,Monday,3,d_388,
2012-02-21,Tuesday,4,d_389,
2012-02-22,Wednesday,5,d_390,
2012-02-23,Thursday,6,d_391,
2012-02-24,Friday,7,d_392,
2012-02-25,Saturday,1,d_393,
2012-02-26,Sunday,2,d_394,
2012-02-27,Monday,3,d_395,
2012-02-28,Tuesday,4,d_396,
2012-02-29,Wednesday,5,d_397,
2012-03-01,Thursday,6,d_398,
2012-03-02,Friday,7,d_399,
2012-03-03,Saturday,1,d_400,
2012-03-04,Sunday,2,d_401,
2012-03-05,Monday,3,d_402,
2012-03-06,Tuesday,4,d_403,
2012-03-07,Wednesday,5,d_404,
2012-03-08,Thursday,6,d_405,
2012-03-09,Friday,7,d_406,
2012-03-10,Saturday,1,d_407,
2012-03-11,Sunday,2,d_408,
2012-03-12,Monday,3,d_409,
2012-03-13,Tuesday,4,d_410,
2012-03-14,Wednesday,5,d_411,
2012-03-15,Thursday,6,d_412,
2012-03-16,Friday,7,d_413,
2012-03-17,Saturday,1,d_414,
2012-03-18,Sunday,2,d_415,
2012-03-19,Monday,3,d_416,
2012-03-20,Tuesday,4,d_417,
2012-03-21,Wednesday,5,d_418,
2012-03-22,Thursday,6,d_419,
2012-03-23,Friday,7,d_420,
2012-03-24,Saturday,1,d_421,
2012-03-25,Sunday,2,d_422,
2012-03-26,Monday,3,d_423,
2012-03-27,Tuesday,4,d_424,
2012-03-28,Wednesday,5,d_425,
2012-03-29,Thursday,6,d_426,
2012-03-30,Friday,7,d_427,
2012-03-31,Saturday,1,d_428,
2012-04-01,Sunday,2,d_429,
2012-04-02,Monday,3,d_430,
2012-04-03,Tuesday,4,d_431,
2012-04-04,Wednesday,5,d_432,
2012-04-05,Thursday,6,d_433,
2012-04-06,Friday,7,d_434,
2012-04-07,Saturday,1,d_435,
2012-04-08,Sunday,2,d_436,Easter
2012-04-09,Monday,3,d_437,
2012-04-10,Tuesday,4,d_438,
2012-04-11,Wednesday,5,d_439,
2012-04-12,Thursday,6,d_440,
2012-04-13,Friday,7,d_441,
2012-04-14,Saturday,1,d_442,
2012-04-15,Sunday,2,d_443,
2012-04-16,Monday,3,d_444,
2012-04-17,Tuesday,4,d_445,
2012-04-18,Wednesday,5,d_446,
2012-04-19,Thursday,6,d_447,
2012-04-20,Friday,7,d_448,
2012-04-21,Saturday,1,d_449,
2012-04-22,Sunday,2,d_450,
2012-04-23,Monday,3,d_451,
2012-04-24,Tuesday,4,d_452,
2012-04-25,Wednesday,5,d_453,
2012-04-26,Thursday,6,d_454,
2012-04-27,Friday,7,d_455,
2012-04-28,Saturday,1,d_456,
2012-04-29,Sunday,2,d_457,
2012-04-30,Monday,3,d_458,
2012-05-01,Tuesday,4,d_459,
2012-05-02,Wednesday,5,d_460,
2012-05-03,Thursday,6,d_461,
2012-05-04,Friday,7,d_462,
2012-05-05,Saturday,1,d_463,
2012-05-06,Sunday,2,d_464,
2012-05-07,Monday,3,d_465,
2012-05-08,Tuesday,4,d_466,
2012-05-09,Wednesday,5,d_467,
2012-05-10,Thursday,6,d_468,
2012-05-11,Friday,7,d_469,
2012-05-12,Saturday,1,d_470,
2012-05-13,Sunday,2,d_471,
2012-05-14,Monday,3,d_472,
2012-05-15,Tuesday,4,d_473,
2012-05-16,Wednesday,5,d_474,
2012-05-17,Thursday,6,d_475,
2012-05-18,Friday,7,d_476,
2012-05-19,Saturday,1,d_477,
2012-05-20,Sunday,2,d_478,
2012-05-21,Monday,3,d_479,
2012-05-22,Tuesday,4,d_480,
2012-05-23,Wednesday,5,d_481,
2012-05-24,Thursday,6,d_482,
2012-05-25,Friday,7,d_483,
2012-05-26,Saturday,1,d_484,
2012-05-27,Sunday,2,d_485,
2012-05-28,Monday,3,d_486,
2012-05-29,Tuesday,4,d_487,
2012-05-30,Wednesday,5,d_488,
2012-05-31,Thursday,6,d_489,
2012-06-01,Friday,7,d_490,
2012-06-02,Saturday,1,d_491,
2012-06-03,Sunday,2,d_492,
2012-06-04,Monday,3,d_493,
2012-06-05,Tuesday,4,d_494,
2012-06-06,Wednesday,5,d_495,
2012-06-07,Thursday,6,d_496,
2012-06-08,Friday,7,d_497,
2012-06-09,Saturday,1,d_498,
2012-06-10,Sunday,2,d_499,
2012-06-11,Monday,3,d_500,
2012-06-12,Tuesday,4,d_501,
2012-06-13,Wednesday,5,d_502,
2012-06-14,Thursday,6,d_503,
2012-06-15,Friday,7,d_504,
2012-06-16,Saturday,1,d_505,
2012-06-17,Sunday,2,d_506,
2012-06-18,Monday,3,d_507,
2012-06-19,Tuesday,4,d_508,
2012-06-20,Wednesday,5,d_509,
2012-06-21,Thursday,6,d_510,
2012-06-22,Friday,7,d_511,
2012-06-23,Saturday,1,d_512,
2012-06-24,Sunday,2,d_513,
2012-06-25,Monday,3,d_514,
2012-06-26,Tuesday,4,d_515,
2012-06-27,Wednesday,5,d_516,
2012-06-28,Thursday,6,d_517,
2012-06-29,Friday,7,d_518,
2012-06-30,Saturday,1,d_519,
2012-07-01,Sunday,2,d_520,
2012-07-02,Monday,3,d_521,
2012-07-03,Tuesday,4,d_522,
2012-07-04,Wednesday,5,d_523,
2012-07-05,Thursday,6,d_524,
2012-07-06,Friday,7,d_525,
2012-07-07,Saturday,1,d_526,
2012-07-08,Sunday,2,d_527,
2012-07-09,Monday,3,d_528,
2012-07-10,Tuesday,4,d_529,
2012-07-11,Wednesday,5,d_530,
2012-07-12,Thursday,6,d_531,
2012-07-13,Friday,7,d_532,
2012-07-14,Saturday,1,d_533,
2012-07-15,Sunday,2,d_534,
2012-07-16,Monday,3,d_535,
2012-07-17,Tuesday,4,d_536,
2012-07-18,Wednesday,5,d_537,
2012-07-19,Thursday,6,d_538,
2012-07-20,Friday,7,d_539,Ramadan starts
2012-07-21,Saturday,1,d_540,
2012-07-22,Sunday,2,d_541,
2012-07-23,Monday,3,d_542,
2012-07-24,Tuesday,4,d_543,
2012-07-25,Wednesday,5,d_544,
2012-07-26,Thursday,6,d_545,
2012-07-27,Friday,7,d_546,
2012-07-28,Saturday,1,d_547,
2012-07-29,Sunday,2,d_548,
2012-07-30,Monday,3,d_549,
2012-07-31,Tuesday,4,d_550,
2012-08-01,Wednesday,5,d_551,
2012-08-02,Thursday,6,d_552,
2012-08-03,Friday,7,d_553,
2012-08-04,Saturday,1,d_554,
2012-08-05,Sunday,2,d_555,
2012-08-06,Monday,3,d_556,
2012-08-07,Tuesday,4,d_557,
2012-08-08,Wednesday,5,d_558,
2012-08-09,Thursday,6,d_559,
2012-08-10,Friday,7,d_560,
2012-08-11,Saturday,1,d_561,
2012-08-12,Sunday,2,d_562,
2012-08-13,Monday,3,d_563,
2012-08-14,Tuesday,4,d_564,
2012-08-15,Wednesday,5,d_565,
2012-08-16,Thursday,6,d_566,
2012-08-17,Friday,7,d_567,
2012-08-18,Saturday,1,d_568,
2012-08-19,Sunday,2,d_569,
2012-08-20,Monday,3,d_570,
2012-08-21,Tuesday,4,d_571,
2012-08-22,Wednesday,5,d_572,
2012-08-23,Thursday,6,d_573,
2012-08-24,Friday,7,d_574,
2012-08-25,Saturday,1,d_575,
2012-08-26,Sunday,2,d_576,
2012-08-27,Monday,3,d_577,
2012-08-28,Tuesday,4,d_578,
2012-08-29,Wednesday,5,d_579,
2012-08-30,Thursday,6,d_580,
2012-08-31,Friday,7,d_581,
2012-09-01,Saturday,1,d_582,
2012-09-02,Sunday,2,d_583,
2012-09-03,Monday,3,d_584,
2012-09-04,Tuesday,4,d_585,
2012-09-05,Wednesday,5,d_586,
2012-09-06,Thursday,6,d_587,
2012-09-07,Friday,7,d_588,
2012-09-08,Saturday,1,d_589,
2012-09-09,Sunday,2,d_590,
2012-09-10,Monday,3,d_591,
2012-09-11,Tuesday,4,d_592,
2012-09-12,Wednesday,5,d_593,
2012-09-13,Thursday,6,d_594,
2012-09-14,Friday,7,d_595,
2012-09-15,Saturday,1,d_596,
2012-09-16,Sunday,2,d_597,
2012-09-17,Monday,3,d_598,
2012-09-18,Tuesday,4,d_599,
2012-09-19,Wednesday,5,d_600,
2012-09-20,Thursday,6,d_601,
2012-09-21,Friday,7,d_602,
2012-09-22,Saturday,1,d_603,
2012-09-23,Sunday,2,d_604,
2012-09-24,Monday,3,d_605,
2012-09-25,Tuesday,4,d_606,
2012-09-26,Wednesday,5,d_607,
2012-09-27,Thursday,6,d_608,
2012-09-28,Friday,7,d_609,
2012-09-29,Saturday,1,d_610,
2012-09-30,Sunday,2,d_611,
2012-10-01,Monday,3,d_612,
2012-10-02,Tuesday,4,d_613,
2012-10-03,Wednesday,5,d_614,
2012-10-04,Thursday,6,d_615,
2012-10-05,Friday,7,d_616,
2012-10-06,Saturday,1,d_617,
2012-10-07,Sunday,2,d_618,
2012-10-08,Monday,3,d_619,
2012-10-09,Tuesday,4,d_620,
2012-10-10,Wednesday,5,d_621,
2012-10-11,Thursday,6,d_622,
2012-10-12,Friday,7,d_623,
2012-10-13,Saturday,1,d_624,
2012-10-14,Sunday,2,d_625,
2012-10-15,Monday,3,d_626,
2012-10-16,Tuesday,4,d_627,
2012-10-17,Wednesday,5,d_628,
2012-10-18,Thursday,6,d_629,
2012-10-19,Friday,7,d_630,
2012-10-20,Saturday,1,d_631,
2012-10-21,Sunday,2,d_632,
2012-10-22,Monday,3,d_633,
2012-10-23,Tuesday,4,d_634,
2012-10-24,Wednesday,5,d_635,
2012-10-25,Thursday,6,d_636,
2012-10-26,Friday,7,d_637,
2012-10-27,Saturday,1,d_638,
2012-10-28,Sunday,2,d_639,
2012-10-29,Monday,3,d_640,
2012-10-30,Tuesday,4,d_641,
2012-10-31,Wednesday,5,d_642,
2012-11-01,Thursday,6,d_643,
2012-11-02,Friday,7,d_644,
2012-11-03,Saturday,1,d_645,
2012-11-04,Sunday,2,d_646,
2012-11-05,Monday,3,d_647,
2012-11-06,Tuesday,4,d_648,
2012-11-07,Wednesday,5,d_649,
2012-11-08,Thursday,6,d_650,
