date,weekday,weekday_int,d,event
2012-11-09,Friday,7,d_651,
2012-11-10,Saturday,1,d_652,
2012-11-11,Sunday,2,d_653,
2012-11-12,Monday,3,d_654,
2012-11-13,Tuesday,4,d_655,
2012-11-14,Wednesday,5,d_656,
2012-11-15,Thursday,6,d_657,
2012-11-16,Friday,7,d_658,
2012-11-17,Saturday,1,d_659,
2012-11-18,Sunday,2,d_660,
2012-11-19,Monday,3,d_661,
2012-11-20,Tuesday,4,d_662,
2012-11-21,Wednesday,5,d_663,
2012-11-22,Thursday,6,d_664,Thanksgiving
2012-11-23,Friday,7,d_665,
2012-11-24,Saturday,1,d_666,
2012-11-25,Sunday,2,d_667,
2012-11-26,Monday,3,d_668,
2012-11-27,Tuesday,4,d_669,
2012-11-28,Wednesday,5,d_670,
2012-11-29,Thursday,6,d_671,
2012-11-30,Friday,7,d_672,
2012-12-01,Saturday,1,d_673,
2012-12-02,Sunday,2,d_674,
2012-12-03,Monday,3,d_675,
2012-12-04,Tuesday,4,d_676,
2012-12-05,Wednesday,5,d_677,
2012-12-06,Thursday,6,d_678,
2012-12-07,Friday,7,d_679,
2012-12-08,Saturday,1,d_680,
2012-12-09,Sunday,2,d_681,
2012-12-10,Monday,3,d_682,
2012-12-11,Tuesday,4,d_683,
2012-12-12,Wednesday,5,d_684,
2012-12-13,Thursday,6,d_685,
2012-12-14,Friday,7,d_686,
2012-12-15,Saturday,1,d_687,
2012-12-16,Sunday,2,d_688,
2012-12-17,Monday,3,d_689,
2012-12-18,Tuesday,4,d_690,
2012-12-19,Wednesday,5,d_691,
2012-12-20,Thursday,6,d_692,
2012-12-21,Friday,7,d_693,
2012-12-22,Saturday,1,d_694,
2012-12-23,Sunday,2,d_695,
2012-12-24,Monday,3,d_696,
2012-12-25,Tuesday,4,d_697,
2012-12-26,Wednesday,5,d_698,
2012-12-27,Thursday,6,d_699,
2012-12-28,Friday,7,d_700,
2012-12-29,Saturday,1,d_701,
2012-12-30,Sunday,2,d_702,
2012-12-31,Monday,3,d_703,
2013-01-01,Tuesday,4,d_704,NewYear
2013-01-02,Wednesday,5,d_705,
2013-01-03,Thursday,6,d_706,
2013-01-04,Friday,7,d_707,
2013-01-05,Saturday,1,d_708,
2013-01-06,Sunday,2,d_709,
2013-01-07,Monday,3,d_710,
2013-01-08,Tuesday,4,d_711,
2013-01-09,Wednesday,5,d_712,
2013-01-10,Thursday,6,d_713,
2013-01-11,Friday,7,d_714,
2013-01-12,Saturday,1,d_715,
2013-01-13,Sunday,2,d_716,
2013-01-14,Monday,3,d_717,
2013-01-15,Tuesday,4,d_718,
2013-01-16,Wednesday,5,d_719,
2013-01-17,Thursday,6,d_720,
2013-01-18,Friday,7,d_721,
2013-01-19,Saturday,1,d_722,
2013-01-20,Sunday,2,d_723,
2013-01-21,Monday,3,d_724,
2013-01-22,Tuesday,4,d_725,
2013-01-23,Wednesday,5,d_726,
2013-01-24,Thursday,6,d_727,
2013-01-25,Friday,7,d_728,
2013-01-26,Saturday,1,d_729,
2013-01-27,Sunday,2,d_730,
2013-01-28,Monday,3,d_731,
2013-01-29,Tuesday,4,d_732,
2013-01-30,Wednesday,5,d_733,
2013-01-31,Thursday,6,d_734,
2013-02-01,Friday,7,d_735,
2013-02-02,Saturday,1,d_736,
2013-02-03,Sunday,2,d_737,SuperBowl
2013-02-04,Monday,3,d_738,
2013-02-05,Tuesday,4,d_739,
2013-02-06,Wednesday,5,d_740,
2013-02-07,Thursday,6,d_741,
2013-02-08,Friday,7,d_742,
2013-02-09,Saturday,1,d_743,
2013-02-10,Sunday,2,d_744,
2013-02-11,Monday,3,d_745,
2013-02-12,Tuesday,4,d_746,
2013-02-13,Wednesday,5,d_747,
2013-02-14,Thursday,6,d_748,
2013-02-15,Friday,7,d_749,
2013-02-16,Saturday,1,d_750,
2013-02-17,Sunday,2,d_751,
2013-02-18,Monday,3,d_752,
2013-02-19,Tuesday,4,d_753,
2013-02-20,Wednesday,5,d_754,
2013-02-21,Thursday,6,d_755,
2013-02-22,Friday,7,d_756,
2013-02-23,Saturday,1,d_757,
2013-02-24,Sunday,2,d_758,
2013-02-25,Monday,3,d_759,
2013-02-26,Tuesday,4,d_760,
2013-02-27,Wednesday,5,d_761,
2013-02-28,Thursday,6,d_762,
2013-03-01,Friday,7,d_763,
2013-03-02,Saturday,1,d_764,
2013-03-03,Sunday,2,d_765,
2013-03-04,Monday,3,d_766,
2013-03-05,Tuesday,4,d_767,
2013-03-06,Wednesday,5,d_768,
2013-03-07,Thursday,6,d_769,
2013-03-08,Friday,7,d_770,
2013-03-09,Saturday,1,d_771,
2013-03-10,Sunday,2,d_772,
2013-03-11,Monday,3,d_773,
2013-03-12,Tuesday,4,d_774,
2013-03-13,Wednesday,5,d_775,
2013-03-14,Thursday,6,d_776,
2013-03-15,Friday,7,d_777,
2013-03-16,Saturday,1,d_778,
2013-03-17,Sunday,2,d_779,
2013-03-18,Monday,3,d_780,
2013-03-19,Tuesday,4,d_781,
2013-03-20,Wednesday,5,d_782,
2013-03-21,Thursday,6,d_783,
2013-03-22,Friday,7,d_784,
2013-03-23,Saturday,1,d_785,
2013-03-24,Sunday,2,d_786,
2013-03-25,Monday,3,d_787,
2013-03-26,Tuesday,4,d_788,
2013-03-27,Wednesday,5,d_789,
2013-03-28,Thursday,6,d_790,
2013-03-29,Friday,7,d_791,
2013-03-30,Saturday,1,d_792,
2013-03-31,Sunday,2,d_793,Easter
2013-04-01,Monday,3,d_794,
2013-04-02,Tuesday,4,d_795,
2013-04-03,Wednesday,5,d_796,
2013-04-04,Thursday,6,d_797,
2013-04-05,Friday,7,d_798,
2013-04-06,Saturday,1,d_799,
2013-04-07,Sunday,2,d_800,
2013-04-08,Monday,3,d_801,
2013-04-09,Tuesday,4,d_802,
2013-04-10,Wednesday,5,d_803,
2013-04-11,Thursday,6,d_804,
2013-04-12,Friday,7,d_805,
2013-04-13,Saturday,1,d_806,
2013-04-14,Sunday,2,d_807,
2013-04-15,Monday,3,d_808,
2013-04-16,Tuesday,4,d_809,
2013-04-17,Wednesday,5,d_810,
2013-04-18,Thursday,6,d_811,
2013-04-19,Friday,7,d_812,
2013-04-20,Saturday,1,d_813,
2013-04-21,Sunday,2,d_814,
2013-04-22,Monday,3,d_815,
2013-04-23,Tuesday,4,d_816,
2013-04-24,Wednesday,5,d_817,
2013-04-25,Thursday,6,d_818,
2013-04-26,Friday,7,d_819,
2013-04-27,Saturday,1,d_820,
2013-04-28,Sunday,2,d_821,
2013-04-29,Monday,3,d_822,
2013-04-30,Tuesday,4,d_823,
2013-05-01,Wednesday,5,d_824,
2013-05-02,Thursday,6,d_825,
2013-05-03,Friday,7,d_826,
2013-05-04,Saturday,1,d_827,
2013-05-05,Sunday,2,d_828,
2013-05-06,Monday,3,d_829,
2013-05-07,Tuesday,4,d_830,
2013-05-08,Wednesday,5,d_831,
2013-05-09,Thursday,6,d_832,
2013-05-10,Friday,7,d_833,
2013-05-11,Saturday,1,d_834,
2013-05-12,Sunday,2,d_835,
2013-05-13,Monday,3,d_836,
2013-05-14,Tuesday,4,d_837,
2013-05-15,Wednesday,5,d_838,
2013-05-16,Thursday,6,d_839,
2013-05-17,Friday,7,d_840,
2013-05-18,Saturday,1,d_841,
2013-05-19,Sunday,2,d_842,
2013-05-20,Monday,3,d_843,
2013-05-21,Tuesday,4,d_844,
2013-05-22,Wednesday,5,d_845,
2013-05-23,Thursday,6,d_846,
2013-05-24,Friday,7,d_847,
2013-05-25,Saturday,1,d_848,
2013-05-26,Sunday,2,d_849,
2013-05-27,Monday,3,d_850,
2013-05-28,Tuesday,4,d_851,
2013-05-29,Wednesday,5,d_852,
2013-05-30,Thursday,6,d_853,
2013-05-31,Friday,7,d_854,
2013-06-01,Saturday,1,d_855,
2013-06-02,Sunday,2,d_856,
2013-06-03,Monday,3,d_857,
2013-06-04,Tuesday,4,d_858,
2013-06-05,Wednesday,5,d_859,
2013-06-06,Thursday,6,d_860,
2013-06-07,Friday,7,d_861,
2013-06-08,Saturday,1,d_862,
2013-06-09,Sunday,2,d_863,
2013-06-10,Monday,3,d_864,
2013-06-11,Tuesday,4,d_865,
2013-06-12,Wednesday,5,d_866,
2013-06-13,Thursday,6,d_867,
2013-06-14,Friday,7,d_868,
2013-06-15,Saturday,1,d_869,
2013-06-16,Sunday,2,d_870,
2013-06-17,Monday,3,d_871,
2013-06-18,Tuesday,4,d_872,
2013-06-19,Wednesday,5,d_873,
2013-06-20,Thursday,6,d_874,
2013-06-21,Friday,7,d_875,
2013-06-22,Saturday,1,d_876,
2013-06-23,Sunday,2,d_877,
2013-06-24,Monday,3,d_878,
2013-06-25,Tuesday,4,d_879,
2013-06-26,Wednesday,5,d_880,
2013-06-27,Thursday,6,d_881,
2013-06-28,Friday,7,d_882,
2013-06-29,Saturday,1,d_883,
2013-06-30,Sunday,2,d_884,
2013-07-01,Monday,3,d_885,
2013-07-02,Tuesday,4,d_886,
2013-07-03,Wednesday,5,d_887,
2013-07-04,Thursday,6,d_888,
2013-07-05,Friday,7,d_889,
2013-07-06,Saturday,1,d_890,
2013-07-07,Sunday,2,d_891,
2013-07-08,Monday,3,d_892,
2013-07-09,Tuesday,4,d_893,Ramadan starts
2013-07-10,Wednesday,5,d_894,
2013-07-11,Thursday,6,d_895,
2013-07-12,Friday,7,d_896,
2013-07-13,Saturday,1,d_897,
2013-07-14,Sunday,2,d_898,
2013-07-15,Monday,3,d_899,
2013-07-16,Tuesday,4,d_900,
2013-07-17,Wednesday,5,d_901,
2013-07-18,Thursday,6,d_902,
2013-07-19,Friday,7,d_903,
2013-07-20,Saturday,1,d_904,
2013-07-21,Sunday,2,d_905,
2013-07-22,Monday,3,d_906,
2013-07-23,Tuesday,4,d_907,
2013-07-24,Wednesday,5,d_908,
2013-07-25,Thursday,6,d_909,
2013-07-26,Friday,7,d_910,
2013-07-27,Saturday,1,d_911,
2013-07-28,Sunday,2,d_912,
2013-07-29,Monday,3,d_913,
2013-07-30,Tuesday,4,d_914,
2013-07-31,Wednesday,5,d_915,
2013-08-01,Thursday,6,d_916,
2013-08-02,Friday,7,d_917,
2013-08-03,Saturday,1,d_918,
2013-08-04,Sunday,2,d_919,
2013-08-05,Monday,3,d_920,
2013-08-06,Tuesday,4,d_921,
2013-08-07,Wednesday,5,d_922,
2013-08-08,Thursday,6,d_923,
2013-08-09,Friday,7,d_924,
2013-08-10,Saturday,1,d_925,
2013-08-11,Sunday,2,d_926,
2013-08-12,Monday,3,d_927,
2013-08-13,Tuesday,4,d_928,
2013-08-14,Wednesday,5,d_929,
2013-08-15,Thursday,6,d_930,
2013-08-16,Friday,7,d_931,
2013-08-17,Saturday,1,d_932,
2013-08-18,Sunday,2,d_933,
2013-08-19,Monday,3,d_934,
2013-08-20,Tuesday,4,d_935,
2013-08-21,Wednesday,5,d_936,
2013-08-22,Thursday,6,d_937,
2013-08-23,Friday,7,d_938,
2013-08-24,Saturday,1,d_939,
2013-08-25,Sunday,2,d_940,
2013-08-26,Monday,3,d_941,
2013-08-27,Tuesday,4,d_942,
2013-08-28,Wednesday,5,d_943,
2013-08-29,Thursday,6,d_944,
2013-08-30,Friday,7,d_945,
2013-08-31,Saturday,1,d_946,
2013-09-01,Sunday,2,d_947,
2013-09-02,Monday,3,d_948,
2013-09-03,Tuesday,4,d_949,
2013-09-04,Wednesday,5,d_950,
2013-09-05,Thursday,6,d_951,
2013-09-06,Friday,7,d_952,
2013-09-07,Saturday,1,d_953,
2013-09-08,Sunday,2,d_954,
2013-09-09,Monday,3,d_955,
2013-09-10,Tuesday,4,d_956,
2013-09-11,Wednesday,5,d_957,
2013-09-12,Thursday,6,d_958,
2013-09-13,Friday,7,d_959,
2013-09-14,Saturday,1,d_960,
2013-09-15,Sunday,2,d_961,
2013-09-16,Monday,3,d_962,
2013-09-17,Tuesday,4,d_963,
2013-09-18,Wednesday,5,d_964,
2013-09-19,Thursday,6,d_965,
2013-09-20,Friday,7,d_966,
2013-09-21,Saturday,1,d_967,
2013-09-22,Sunday,2,d_968,
2013-09-23,Monday,3,d_969,
2013-09-24,Tuesday,4,d_970,
2013-09-25,Wednesday,5,d_971,
2013-09-26,Thursday,6,d_972,
2013-09-27,Friday,7,d_973,
2013-09-28,Saturday,1,d_974,
2013-09-29,Sunday,2,d_975,
2013-09-30,Monday,3,d_976,
2013-10-01,Tuesday,4,d_977,
2013-10-02,Wednesday,5,d_978,
2013-10-03,Thursday,6,d_979,
2013-10-04,Friday,7,d_980,
2013-10-05,Saturday,1,d_981,
2013-10-06,Sunday,2,d_982,
2013-10-07,Monday,3,d_983,
2013-10-08,Tuesday,4,d_984,
2013-10-09,Wednesday,5,d_985,
2013-10-10,Thursday,6,d_986,
2013-10-11,Friday,7,d_987,
2013-10-12,Saturday,1,d_988,
2013-10-13,Sunday,2,d_989,
2013-10-14,Monday,3,d_990,
2013-10-15,Tuesday,4,d_991,
2013-10-16,Wednesday,5,d_992,
2013-10-17,Thursday,6,d_993,
2013-10-18,Friday,7,d_994,
2013-10-19,Saturday,1,d_995,
2013-10-20,Sunday,2,d_996,
2013-10-21,Monday,3,d_997,
2013-10-22,Tuesday,4,d_998,
2013-10-23,Wednesday,5,d_999,
2013-10-24,Thursday,6,d_1000,
2013-10-25,Friday,7,d_1001,
2013-10-26,Saturday,1,d_1002,
2013-10-27,Sunday,2,d_1003,
2013-10-28,Monday,3,d_1004,
2013-10-29,Tuesday,4,d_1005,
2013-10-30,Wednesday,5,d_1006,
2013-10-31,Thursday,6,d_1007,
2013-11-01,Friday,7,d_1008,
2013-11-02,Saturday,1,d_1009,
2013-11-03,Sunday,2,d_1010,
2013-11-04,Monday,3,d_1011,
2013-11-05,Tuesday,4,d_1012,
2013-11-06,Wednesday,5,d_1013,
2013-11-07,Thursday,6,d_1014,
2013-11-08,Friday,7,d_1015,
2013-11-09,Saturday,1,d_1016,
2013-11-10,Sunday,2,d_1017,
2013-11-11,Monday,3,d_1018,
2013-11-12,Tuesday,4,d_1019,
2013-11-13,Wednesday,5,d_1020,
2013-11-14,Thursday,6,d_1021,
2013-11-15,Friday,7,d_1022,
2013-11-16,Saturday,1,d_1023,
2013-11-17,Sunday,2,d_1024,
2013-11-18,Monday,3,d_1025,
2013-11-19,Tuesday,4,d_1026,
2013-11-20,Wednesday,5,d_1027,
2013-11-21,Thursday,6,d_1028,
2013-11-22,Friday,7,d_1029,
2013-11-23,Saturday,1,d_1030,
2013-11-24,Sunday,2,d_1031,
2013-11-25,Monday,3,d_1032,
2013-11-26,Tuesday,4,d_1033,
2013-11-27,Wednesday,5,d_1034,
2013-11-28,Thursday,6,d_1035,Thanksgiving
2013-11-29,Friday,7,d_1036,
2013-11-30,Saturday,1,d_1037,
2013-12-01,Sunday,2,d_1038,
2013-12-02,Monday,3,d_1039,
2013-12-03,Tuesday,4,d_1040,
2013-12-04,Wednesday,5,d_1041,
2013-12-05,Thursday,6,d_1042,
2013-12-06,Friday,7,d_1043,
2013-12-07,Saturday,1,d_1044,
2013-12-08,Sunday,2,d_1045,
2013-12-09,Monday,3,d_1046,
2013-12-10,Tuesday,4,d_1047,
2013-12-11,Wednesday,5,d_1048,
2013-12-12,Thursday,6,d_1049,
2013-12-13,Friday,7,d_1050,
2013-12-14,Saturday,1,d_1051,
2013-12-15,Sunday,2,d_1052,
2013-12-16,Monday,3,d_1053,
2013-12-17,Tuesday,4,d_1054,
2013-12-18,Wednesday,5,d_1055,
2013-12-19,Thursday,6,d_1056,
2013-12-20,Friday,7,d_1057,
2013-12-21,Saturday,1,d_1058,
2013-12-22,Sunday,2,d_1059,
2013-12-23,Monday,3,d_1060,
2013-12-24,Tuesday,4,d_1061,
2013-12-25,Wednesday,5,d_1062,
2013-12-26,Thursday,6,d_1063,
2013-12-27,Friday,7,d_1064,
2013-12-28,Saturday,1,d_1065,
2013-12-29,Sunday,2,d_1066,
2013-12-30,Monday,3,d_1067,
2013-12-31,Tuesday,4,d_1068,
2014-01-01,Wednesday,5,d_1069,NewYear
2014-01-02,Thursday,6,d_1070,
2014-01-03,Friday,7,d_1071,
2014-01-04,Saturday,1,d_1072,
2014-01-05,Sunday,2,d_1073,
2014-01-06,Monday,3,d_1074,
2014-01-07,Tuesday,4,d_1075,
2014-01-08,Wednesday,5,d_1076,
2014-01-09,Thursday,6,d_1077,
2014-01-10,Friday,7,d_1078,
2014-01-11,Saturday,1,d_1079,
2014-01-12,Sunday,2,d_1080,
2014-01-13,Monday,3,d_1081,
2014-01-14,Tuesday,4,d_1082,
2014-01-15,Wednesday,5,d_1083,
2014-01-16,Thursday,6,d_1084,
2014-01-17,Friday,7,d_1085,
2014-01-18,Saturday,1,d_1086,
2014-01-19,Sunday,2,d_1087,
2014-01-20,Monday,3,d_1088,
2014-01-21,Tuesday,4,d_1089,
2014-01-22,Wednesday,5,d_1090,
2014-01-23,Thursday,6,d_1091,
2014-01-24,Friday,7,d_1092,
2014-01-25,Saturday,1,d_1093,
2014-01-26,Sunday,2,d_1094,
2014-01-27,Monday,3,d_1095,
2014-01-28,Tuesday,4,d_1096,
2014-01-29,Wednesday,5,d_1097,
2014-01-30,Thursday,6,d_1098,
2014-01-31,Friday,7,d_1099,
2014-02-01,Saturday,1,d_1100,
2014-02-02,Sunday,2,d_1101,SuperBowl
2014-02-03,Monday,3,d_1102,
2014-02-04,Tuesday,4,d_1103,
2014-02-05,Wednesday,5,d_1104,
2014-02-06,Thursday,6,d_1105,
2014-02-07,Friday,7,d_1106,
2014-02-08,Saturday,1,d_1107,
2014-02-09,Sunday,2,d_1108,
2014-02-10,Monday,3,d_1109,
2014-02-11,Tuesday,4,d_1110,
2014-02-12,Wednesday,5,d_1111,
2014-02-13,Thursday,6,d_1112,
2014-02-14,Friday,7,d_1113,
2014-02-15,Saturday,1,d_1114,
2014-02-16,Sunday,2,d_1115,
2014-02-17,Monday,3,d_1116,
2014-02-18,Tuesday,4,d_1117,
2014-02-19,Wednesday,5,d_1118,
2014-02-20,Thursday,6,d_1119,
2014-02-21,Friday,7,d_1120,
2014-02-22,Saturday,1,d_1121,
2014-02-23,Sunday,2,d_1122,
2014-02-24,Monday,3,d_1123,
2014-02-25,Tuesday,4,d_1124,
2014-02-26,Wednesday,5,d_1125,
2014-02-27,Thursday,6,d_1126,
2014-02-28,Friday,7,d_1127,
2014-03-01,Saturday,1,d_1128,
2014-03-02,Sunday,2,d_1129,
2014-03-03,Monday,3,d_1130,
2014-03-04,Tuesday,4,d_1131,
2014-03-05,Wednesday,5,d_1132,
2014-03-06,Thursday,6,d_1133,
2014-03-07,Friday,7,d_1134,
2014-03-08,Saturday,1,d_1135,
2014-03-09,Sunday,2,d_1136,
2014-03-10,Monday,3,d_1137,
2014-03-11,Tuesday,4,d_1138,
2014-03-12,Wednesday,5,d_1139,
2014-03-13,Thursday,6,d_1140,
2014-03-14,Friday,7,d_1141,
2014-03-15,Saturday,1,d_1142,
2014-03-16,Sunday,2,d_1143,
2014-03-17,Monday,3,d_1144,
2014-03-18,Tuesday,4,d_1145,
2014-03-19,Wednesday,5,d_1146,
2014-03-20,Thursday,6,d_1147,
2014-03-21,Friday,7,d_1148,
2014-03-22,Saturday,1,d_1149,
2014-03-23,Sunday,2,d_1150,
2014-03-24,Monday,3,d_1151,
2014-03-25,Tuesday,4,d_1152,
2014-03-26,Wednesday,5,d_1153,
2014-03-27,Thursday,6,d_1154,
2014-03-28,Friday,7,d_1155,
2014-03-29,Saturday,1,d_1156,
2014-03-30,Sunday,2,d_1157,
2014-03-31,Monday,3,d_1158,
2014-04-01,Tuesday,4,d_1159,
2014-04-02,Wednesday,5,d_1160,
2014-04-03,Thursday,6,d_1161,
2014-04-04,Friday,7,d_1162,
2014-04-05,Saturday,1,d_1163,
2014-04-06,Sunday,2,d_1164,
2014-04-07,Monday,3,d_1165,
2014-04-08,Tuesday,4,d_1166,
2014-04-09,Wednesday,5,d_1167,
2014-04-10,Thursday,6,d_1168,
2014-04-11,Friday,7,d_1169,
2014-04-12,Saturday,1,d_1170,
2014-04-13,Sunday,2,d_1171,
2014-04-14,Monday,3,d_1172,
2014-04-15,Tuesday,4,d_1173,
2014-04-16,Wednesday,5,d_1174,
2014-04-17,Thursday,6,d_1175,
2014-04-18,Friday,7,d_1176,
2014-04-19,Saturday,1,d_1177,
2014-04-20,Sunday,2,d_1178,Easter
2014-04-21,Monday,3,d_1179,
2014-04-22,Tuesday,4,d_1180,
2014-04-23,Wednesday,5,d_1181,
2014-04-24,Thursday,6,d_1182,
2014-04-25,Friday,7,d_1183,
2014-04-26,Saturday,1,d_1184,
2014-04-27,Sunday,2,d_1185,
2014-04-28,Monday,3,d_1186,
2014-04-29,Tuesday,4,d_1187,
2014-04-30,Wednesday,5,d_1188,
2014-05-01,Thursday,6,d_1189,
2014-05-02,Friday,7,d_1190,
2014-05-03,Saturday,1,d_1191,
2014-05-04,Sunday,2,d_1192,
2014-05-05,Monday,3,d_1193,
2014-05-06,Tuesday,4,d_1194,
2014-05-07,Wednesday,5,d_1195,
2014-05-08,Thursday,6,d_1196,
2014-05-09,Friday,7,d_1197,
2014-05-10,Saturday,1,d_1198,
2014-05-11,Sunday,2,d_1199,
2014-05-12,Monday,3,d_1200,
2014-05-13,Tuesday,4,d_1201,
2014-05-14,Wednesday,5,d_1202,
2014-05-15,Thursday,6,d_1203,
2014-05-16,Friday,7,d_1204,
2014-05-17,Saturday,1,d_1205,
2014-05-18,Sunday,2,d_1206,
2014-05-19,Monday,3,d_1207,
2014-05-20,Tuesday,4,d_1208,
2014-05-21,Wednesday,5,d_1209,
2014-05-22,Thursday,6,d_1210,
2014-05-23,Friday,7,d_1211,
2014-05-24,Saturday,1,d_1212,
2014-05-25,Sunday,2,d_1213,
2014-05-26,Monday,3,d_1214,
2014-05-27,Tuesday,4,d_1215,
2014-05-28,Wednesday,5,d_1216,
2014-05-29,Thursday,6,d_1217,
2014-05-30,Friday,7,d_1218,
2014-05-31,Saturday,1,d_1219,
2014-06-01,Sunday,2,d_1220,
2014-06-02,Monday,3,d_1221,
2014-06-03,Tuesday,4,d_1222,
2014-06-04,Wednesday,5,d_1223,
2014-06-05,Thursday,6,d_1224,
2014-06-06,Friday,7,d_1225,
2014-06-07,Saturday,1,d_1226,
2014-06-08,Sunday,2,d_1227,
2014-06-09,Monday,3,d_1228,
2014-06-10,Tuesday,4,d_1229,
2014-06-11,Wednesday,5,d_1230,
2014-06-12,Thursday,6,d_1231,
2014-06-13,Friday,7,d_1232,
2014-06-14,Saturday,1,d_1233,
2014-06-15,Sunday,2,d_1234,
2014-06-16,Monday,3,d_1235,
2014-06-17,Tuesday,4,d_1236,
2014-06-18,Wednesday,5,d_1237,
2014-06-19,Thursday,6,d_1238,
2014-06-20,Friday,7,d_1239,
2014-06-21,Saturday,1,d_1240,
2014-06-22,Sunday,2,d_1241,
2014-06-23,Monday,3,d_1242,
2014-06-24,Tuesday,4,d_1243,
2014-06-25,Wednesday,5,d_1244,
2014-06-26,Thursday,6,d_1245,
2014-06-27,Friday,7,d_1246,
2014-06-28,Saturday,1,d_1247,
2014-06-29,Sunday,2,d_1248,Ramadan starts
2014-06-30,Monday,3,d_1249,
2014-07-01,Tuesday,4,d_1250,
2014-07-02,Wednesday,5,d_1251,
2014-07-03,Thursday,6,d_1252,
2014-07-04,Friday,7,d_1253,
2014-07-05,Saturday,1,d_1254,
2014-07-06,Sunday,2,d_1255,
2014-07-07,Monday,3,d_1256,
2014-07-08,Tuesday,4,d_1257,
2014-07-09,Wednesday,5,d_1258,
2014-07-10,Thursday,6,d_1259,
2014-07-11,Friday,7,d_1260,
2014-07-12,Saturday,1,d_1261,
2014-07-13,Sunday,2,d_1262,
2014-07-14,Monday,3,d_1263,
2014-07-15,Tuesday,4,d_1264,
2014-07-16,Wednesday,5,d_1265,
2014-07-17,Thursday,6,d_1266,
2014-07-18,Friday,7,d_1267,
2014-07-19,Saturday,1,d_1268,
2014-07-20,Sunday,2,d_1269,
2014-07-21,Monday,3,d_1270,
2014-07-22,Tuesday,4,d_1271,
2014-07-23,Wednesday,5,d_1272,
2014-07-24,Thursday,6,d_1273,
2014-07-25,Friday,7,d_1274,
2014-07-26,Saturday,1,d_1275,
2014-07-27,Sunday,2,d_1276,
2014-07-28,Monday,3,d_1277,
2014-07-29,Tuesday,4,d_1278,
2014-07-30,Wednesday,5,d_1279,
2014-07-31,Thursday,6,d_1280,
2014-08-01,Friday,7,d_1281,
2014-08-02,Saturday,1,d_1282,
2014-08-03,Sunday,2,d_1283,
2014-08-04,Monday,3,d_1284,
2014-08-05,Tuesday,4,d_1285,
2014-08-06,Wednesday,5,d_1286,
2014-08-07,Thursday,6,d_1287,
